"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,166,"PRK","North Korea",1,"Chagang-do",1,"Ch'osan","Gun","County",NA,"Chosan"
2,166,"PRK","North Korea",1,"Chagang-do",2,"Chonch'on","Gun","County",NA,"Jonchon"
3,166,"PRK","North Korea",1,"Chagang-do",3,"Changgang","Gun","County",NA,"Janggang"
4,166,"PRK","North Korea",1,"Chagang-do",4,"Chasong","Gun","County",NA,"Jasong"
5,166,"PRK","North Korea",1,"Chagang-do",5,"Chunggang","Gun","County",NA,"Junggang"
6,166,"PRK","North Korea",1,"Chagang-do",6,"Huich'on","Si"," City",NA,"Huichon"
7,166,"PRK","North Korea",1,"Chagang-do",7,"Hwap'yong","Gun","County",NA,"Hwaphyong"
8,166,"PRK","North Korea",1,"Chagang-do",8,"Kanggye","Si"," City",NA,NA
9,166,"PRK","North Korea",1,"Chagang-do",9,"Kop'ung","Gun","County",NA,"Kopung"
10,166,"PRK","North Korea",1,"Chagang-do",10,"Manp'o","Si"," City",NA,"Manpo"
11,166,"PRK","North Korea",1,"Chagang-do",11,"Rangrim","Gun","County",NA,NA
12,166,"PRK","North Korea",1,"Chagang-do",12,"Ryongrim","Gun","County",NA,NA
13,166,"PRK","North Korea",1,"Chagang-do",13,"Songgan","Gun","County",NA,"Songgan"
14,166,"PRK","North Korea",1,"Chagang-do",14,"Sijung","Gun","County",NA,NA
15,166,"PRK","North Korea",1,"Chagang-do",15,"Songwon","Gun","County",NA,"Songwon"
16,166,"PRK","North Korea",1,"Chagang-do",16,"Tongsin","Gun","County",NA,NA
17,166,"PRK","North Korea",1,"Chagang-do",17,"Usi","Gun","County",NA,NA
18,166,"PRK","North Korea",1,"Chagang-do",18,"Wiwon","Gun","County",NA,"Wiwon"
19,166,"PRK","North Korea",2,"Hamgyong-bukto",19,"Undok","Gun","County",NA,"Undok"
20,166,"PRK","North Korea",2,"Hamgyong-bukto",20,"Orang","Gun","County",NA,"Orang"
